name,street,city,state,zip,care_offerings,source_url
Bellhaven of Maplewood,210 Orchard Lane,Maplewood,OH,44280,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-maplewood
Bellhaven of New Carlisle,875 Elm Street,New Carlisle,OH,45344,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-new-carlisle
Bellhaven of Wooster,2301 Cleveland Road,Wooster,OH,44691,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-wooster
Bellhaven Terrace of Akron,55 Ridgewood Avenue,Akron,OH,44313,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-terrace-of-akron
Bellhaven of Saline,980 W Michigan Ave,Saline,MI,48176,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-saline
Bellhaven of Goshen,1610 College Ave,Goshen,IN,46526,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-goshen
Bellhaven of Meadville,341 Chestnut St,Meadville,PA,16335,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-meadville
Bellhaven of Defiance,700 Carpenter Rd,Defiance,OH,43512,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-defiance
Bellhaven Woods of Toledo,4850 NW Sylvania Ave,Toledo,OH,43623,Memory Support,https://analyst-assessment-production.up.railway.app/communities/bellhaven-woods-of-toledo
Bellhaven of Marion,199 Barks Rd W,Marion,OH,43302,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marion
Bellhaven of Kalamazoo,3222 Gull Rd,Kalamazoo,MI,49048,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kalamazoo
Bellhaven Court of Altoona,1125 Logan Blvd,Altoona,PA,16602,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-court-of-altoona
Bellhaven Rehabilitation & Nursing of Grove City,3985 Broadway,Grove City,OH,43123,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-rehabilitation-nursing-of-grove-city
Bellhaven at Sycamore Ridge,7420 Sycamore Ridge Dr,Miamisburg,OH,45342,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-sycamore-ridge
The Arbors at Bellhaven - Dayton,2210 Salem Ave,Dayton,OH,45406,Memory Support,https://analyst-assessment-production.up.railway.app/communities/the-arbors-at-bellhaven-dayton
Bellhaven Healthcare Centre of Ashland,1631 Claremont Ave,Ashland,OH,44805,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-healthcare-centre-of-ashland
Bellhaven of Port Clinton,1420 Harbor Point Dr,Port Clinton,OH,43452,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-port-clinton
Bellhaven Shores of Erie,4930 W Lake Rd,Erie,PA,16505,Assisted Living | Memory Support,https://analyst-assessment-production.up.railway.app/communities/bellhaven-shores-of-erie
Bellhaven of Kettering,3313 Wilmington Pike,Kettering,OH,45429,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-kettering
Bellhaven Gardens of Monroe,750 Stewart Rd,Monroe,MI,48162,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-gardens-of-monroe
Bellhaven of Tiffin,45 St Lawrence Dr,Tiffin,OH,44883,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-tiffin
Bellhaven of Marietta,805 Colegate Dr,Marietta,OH,45750,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-marietta
Bellhaven Crossings of Lima,3115 N Cole St,Lima,OH,45801,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-crossings-of-lima
Bellhaven of Zanesville,2680 Maple Ave,Zanesville,OH,43701,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-zanesville
Bellhaven of Chagrin Falls,150 River St,Chagrin Falls,OH,44022,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chagrin-falls
Bellhaven Willow Creek,8060 Willow Creek Ln,Portage,MI,49024,Memory Support,https://analyst-assessment-production.up.railway.app/communities/bellhaven-willow-creek
Bellhaven of Ashtabula,3156 W Prospect Rd,Ashtabula,OH,44004,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-ashtabula
Bellhaven of Owosso,1120 W Main St,Owosso,MI,48867,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-owosso
Bellhaven of Portsmouth,2222 Gallia St,Portsmouth,OH,45662,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-portsmouth
Bellhaven of Batavia,2000 Hospital Dr,Batavia,OH,45103,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-batavia
Bellhaven at Union Square,118 Union Square Dr,New Albany,OH,43054,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/bellhaven-at-union-square
Bellhaven of Carlisle,640 Walnut Bottom Rd,Carlisle,PA,17015,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-carlisle
Amberly Manor,4390 Darrow Rd,Hudson,OH,44236,Assisted Living,https://analyst-assessment-production.up.railway.app/communities/amberly-manor
Bellhaven of Chesterton,1250 NW Franklin Street,Chesterton,IN,46304,Short-Term Rehabilitation & Nursing,https://analyst-assessment-production.up.railway.app/communities/bellhaven-of-chesterton
